scorer,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000
bodyparts,nose,nose,nose,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
34,613.16943359375,798.0723266601562,0.9759494066238403,739.3517456054688,764.4137573242188,0.9575846195220947
35,613.7616577148438,806.5795288085938,0.9835860729217529,740.5143432617188,763.3701171875,0.9481125473976135
36,616.4170532226562,814.84423828125,0.9776334166526794,741.7265625,761.0857543945312,0.9601351618766785
37,620.3350219726562,823.527099609375,0.9647819399833679,742.3536376953125,758.6444091796875,0.9716194868087769
38,628.3078002929688,838.0193481445312,0.89630126953125,742.9862670898438,755.6709594726562,0.9672804474830627
39,634.5253295898438,847.2023315429688,0.8975023627281189,743.0961303710938,755.5328369140625,0.91910719871521
40,637.9345092773438,860.1184692382812,0.9602895975112915,743.4814453125,755.5328369140625,0.9287732243537903
41,641.3241577148438,871.8976440429688,0.9846455454826355,743.4814453125,755.5328369140625,0.8089004755020142
42,646.1078491210938,882.7091674804688,0.9768059253692627,743.4814453125,756.5836791992188,0.5036306381225586
43,649.0709228515625,895.1454467773438,0.963663637638092,741.9044799804688,756.5836791992188,0.11961601674556732
44,649.7012939453125,906.6436767578125,0.9653658270835876,740.2985229492188,756.5836791992188,0.09000324457883835
45,651.8941040039062,915.8636474609375,0.9697824120521545,730.8262329101562,704.826416015625,0.32936832308769226
46,662.8673706054688,927.8579711914062,0.9583615660667419,715.0488891601562,704.826416015625,0.7082077264785767
47,670.8806762695312,934.4343872070312,0.9396770596504211,715.0488891601562,704.826416015625,0.08509470522403717
48,671.7990112304688,939.4285888671875,0.9376540184020996,696.2865600585938,718.9719848632812,0.10327593982219696
49,673.4007568359375,942.8421020507812,0.9062169194221497,688.8865966796875,718.9719848632812,0.11386995017528534
50,675.3404541015625,943.0944213867188,0.9221251010894775,680.6351928710938,718.9719848632812,0.23986415565013885
51,686.47900390625,943.0944213867188,0.9103640913963318,680.0897827148438,718.502197265625,0.12736876308918
52,705.895751953125,943.0944213867188,0.9435100555419922,679.041748046875,718.4310913085938,0.129160076379776
53,718.3697509765625,937.7899169921875,0.9386230111122131,678.1349487304688,718.4310913085938,0.13285046815872192
54,720.4126586914062,934.7117309570312,0.9548826813697815,677.73974609375,718.4310913085938,0.31333038210868835
